Date,Open,High,Low,Close,Adj Close,Volume
10/1/1997,43,45.375,40,43.0625,20.409609,14317900
11/1/1997,43.0625,47.5,42.375,46.375,21.979591,8541100
12/1/1997,47,50.375,46.5,49.625,23.636658,7337700
1/1/1998,49.375,50.1875,45.125,46.375,22.088669,7683600
2/1/1998,46.125,46.5625,41.8125,42.625,20.302521,13751900
3/1/1998,42.375,44.8125,41.25,43.125,20.647781,13527200
4/1/1998,43.1875,43.625,39.25,41.25,19.750044,12332300
5/1/1998,41.375,42.5,39.0625,41.3125,19.779978,11927200
6/1/1998,41.1875,41.625,36.75,37.6875,18.146437,10544400
7/1/1998,37.75,39.1875,32.9375,33.25,16.009794,12504400
8/1/1998,33,33.0625,28.5,30.5,14.685681,18099200
9/1/1998,30.625,34.9375,29.9375,32.9375,15.975965,13086700
10/1/1998,32,37.875,31.75,33,16.006279,12162300
11/1/1998,33.125,36.9375,32.5625,36.625,17.764547,11445700
12/1/1998,37.25,37.875,32.6875,34.125,16.667149,13275400
1/1/1999,34.1875,42.25,33.875,40.625,19.841848,17475900
2/1/1999,40.375,41.375,36.1875,37,18.071348,10276700
3/1/1999,36.125,39.0625,33.6875,33.8125,16.61763,12666900
4/1/1999,33.3125,38.125,32.3125,37,18.184166,14013600
5/1/1999,36.875,37.4375,34.4375,34.6875,17.047653,9685800
6/1/1999,34.5,34.875,31.375,33,16.325817,10550500
7/1/1999,32.75,35.75,31.5,34.8125,17.222498,12621000
8/1/1999,34.5625,36.4375,33.375,35.5625,17.593531,10719900
9/1/1999,35.5625,39,34.8125,37.4375,18.648499,14880100
10/1/1999,37.1875,40.9375,36.625,39.8125,19.831539,14363200
11/1/1999,39.5625,39.6875,33,33.875,16.87393,12778900
12/1/1999,33.75,34.1875,30,30.8125,15.457404,14246700
1/1/2000,30.125,30.5,23.375,24.25,12.165266,18854500
2/1/2000,24.5,25.625,20.75,25.3125,12.698273,22037700
3/1/2000,24.625,27.875,22.25,25.75,13.061168,21588900
4/1/2000,25.625,28,23.3125,24.25,12.300327,17531600
5/1/2000,24.3125,32,24.3125,30.375,15.407109,21678400
6/1/2000,30.125,30.6875,26.375,29.75,15.216734,15548300
7/1/2000,29.625,30.75,25.875,25.9375,13.266691,10011100
8/1/2000,26,27.1875,23,23.1875,11.860105,12235400
9/1/2000,23.25,25.1875,22.625,24.1875,12.500338,12396400
10/1/2000,24,26.25,21.5625,25.375,13.114055,17761500
11/1/2000,25.125,28.75,23.75,24.625,12.726448,24521800
12/1/2000,24.5,26.6875,23.1875,26.25,13.695798,16062800
1/1/2001,26.0625,27.0625,24.25,26.200001,13.66971,20191000
2/1/2001,26.209999,28.23,26.17,26.59,13.87319,14316200
3/1/2001,26.35,28,25.35,27.030001,14.235909,15136900
4/1/2001,26.9,27.200001,25,25.5,13.430103,15673000
5/1/2001,25.299999,26.74,25,26.719999,14.07264,13473800
6/1/2001,26.549999,29.360001,26.1,29,15.423236,17847700
7/1/2001,29.299999,31,28.700001,30.07,15.992302,16824000
8/1/2001,30.049999,34,29.690001,31.99,17.013433,24401300
9/1/2001,31.74,32.599998,27.98,30,16.080261,21668600
10/1/2001,29.75,30.950001,28.5,30.5,16.348263,21240300
11/1/2001,30.450001,32,29.110001,29.49,15.806893,17101600
12/1/2001,29.200001,30.91,29,30.1,16.273428,17711800
1/1/2002,29.85,31.75,29.02,30.860001,16.684317,19359000
2/1/2002,30.360001,35.450001,29.389999,34.549999,18.679293,30399600
3/1/2002,34.299999,34.880001,32.299999,33.57,18.284925,21720700
4/1/2002,33.5,36.75,32.75,35.919998,19.56492,21665400
5/1/2002,36,37,35,36.700001,19.98978,19375500
6/1/2002,36.549999,37,34.07,35.860001,19.66881,27691800
7/1/2002,35.650002,36.099998,29.35,34.439999,18.889948,35162400
8/1/2002,34.450001,35.23,32.07,32.16,17.6394,26550200
9/1/2002,31.860001,33.900002,31.440001,33.25,18.378153,22858700
10/1/2002,33.330002,36.299999,31.280001,31.860001,17.609858,32288600
